CODIGO,DESCRIPCIÓN,PRECIO UNITARIO B/.,EXISTENCIA ALMACÉN CDPA MAYO 2024,EXISTENCIA ALMACÉN CDDI MAYO 2024,EXISTENCIA ALMACÉN CDCH MAYO 2024,MONTO DE EXISTENCIAS MAYO EN B/.,TOTAL DE EXISTENCIAS  DISPONIBLES MAYO 2024,EXISTENCIA ALMACÉN CDPA JUNIO 2024,EXISTENCIA ALMACÉN CDDI JUNIO 2024,EXISTENCIA ALMACÉN CDCH JUNIO 2024,MONTO DE EXISTENCIAS JUNIO EN B/.,TOTAL DE EXISTENCIAS  DISPONIBLES JUNIO 2024,EXISTENCIA ALMACÉN CDPA JULIO 2024,EXISTENCIA ALMACÉN CDDI JULIO 2024,EXISTENCIA ALMACÉN CDCH JULIO 2024,MONTO DE EXISTENCIAS JULIO EN B/.,TOTAL DE EXISTENCIAS  DISPONIBLES JULIO 2024,EXISTENCIA ALMACÉN CDPA AGOSTO 2024,EXISTENCIA ALMACÉN CDDI AGOSTO 2024,EXISTENCIA ALMACÉN CDCH AGOSTO 2024,MONTO DE EXISTENCIAS AGOSTO EN B/.,TOTAL DE EXISTENCIAS  DISPONIBLES AGOSTO 2024,EXISTENCIA ALMACÉN CDPA SEPTIEMBRE  2024,EXISTENCIA ALMACÉN CDDI SEPTIEMBRE 2024,EXISTENCIA ALMACÉN CDCH SEPTIEMBRE 2024,MONTO DE EXISTENCIAS SEPTIEMBRE EN B/.,TOTAL DE EXISTENCIAS  DISPONIBLES SEPTIEMBRE 2024
101003801,"SIMVASTATINA, 10MG, CÁPSULA O TABLETA, V.O.",0.019,5776056,10956456,7616560,462632.368,24349072,950448,1288672,663432,55148.488,2902552,416252,0,0,7908.788,416252,4105,4751,360,175.104,9216,0,0,0,0,0
101003901,"FORMOTEROL FUMARATO (EFORMOTEROL), 9-12MCG/INHALACIÓN, POLVO SECO, INHALADOR CON APLICADOR CON 30-60 DOSIS,  VÍA BUCAL.",5.37,40649,13110,1404,296225.31,55163,18462,9933,492,155123.19,28887,9210,8118,284,94576.44,17612,0,0,0,0,0,14630,9426,1412,136763.16,25468
101004401,"ZIDOVUDINA 100mg, cápsula, V.O.",0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011300,0,325300,882156,1336600,0,0,0,0,0
101004501,"CALCIO CARBONATO, 500 MG-1,000MG DE CALCIO ELEMENTAL, TABLETA, V.O.",0.025,1491800,492700,1014500,74975,2999000,615700,59600,644100,32985,1319400,234800,14000,551600,20010,800400,0,0,0,0,0,507600,1400,154400,16585,663400
101005101,"MODULADOR HEMORREOLÓGICO TIPO PENTOXIFILINA, 400MG, TABLETA DE LIBERACIÓN MODIFICADA, V.O.",0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101007801,"ACETAZOLAMIDA, 250MG, TABLETA, V.O",0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101008501,"DIGOXINA 0.25mg, tableta, V.O.",0.27,4050,0,0,1093.5,4050,600,0,0,162,600,0,0,0,0,0,22800,0,5100,7533,27900,0,0,0,0,0
101008601,"FENITOÍNA SÓDICA 100mg, cápsula o tableta, de liberación modificada, V.O.  (X100) ",0.072,249400,334400,163500,53805.6,747300,491200,45800,70700,43754.4,607700,168100,0,400,12132,168500,1839200,0,4000,132710.4,1843200,0,0,0,0,0
101008801,"CLORFENIRAMINA  MALEATO,  4MG, TABLETA, V.O.",0.048,0,0,0,0,0,0,0,0,0,0,2308400,136200,37000,119116.8,2481600,4300,35800,223800,12667.2,263900,776000,21000,156000,45744,953000
101009501,"DIMENHIDRINATO, 50MG, TABLETA, V.O.",0.014,1833350,877250,844100,49765.8,3554700,638250,343400,650900,22855.7,1632550,187800,153800,544400,12404,886000,1683800,1209400,1577200,62585.6,4470400,1100,0,41200,592.2,42300
101010101,"CIPROFLOXACINA, 500MG, CÁPSULA O TABLETA, V.O.",0.058,4534272,2318700,2814000,560684.376,9666972,3356896,1878500,2444300,445422.368,7679696,2598832,1740700,2300500,385121.856,6640032,0,0,0,0,0,767600,637900,977400,138208.2,2382900
101010601,"ISOSORBIDE DINITRATO, 5MG, TABLETA, VÍA SUBLINGUAL",0.39,5700,4900,1500,4719,12100,0,300,0,117,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101010701,"ERITROMICINA (BASE, ESTEARATO O ETILSUCCIONATO), 500MG, TABLETA, V.O.",0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13600,600,0,8520,14200,0,0,0,0,0
101010801,"ISOSORBIDE DINITRATO, 10MG, TABLETA, V.O.",0.031,228880,22840,87680,10521.4,339400,60000,0,0,1860,60000,99700,4400,0,3227.1,104100,0,0,0,0,0,0,0,0,0,0
101011401,"ESTRÓGENOS CONJUGADOS NATURALES DE ORIGEN EQUINO, 0.625-1MG, TABLETA, V.O.",0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81200,39000,24000,14131.6,144200,0,0,0,0,0
101012201,"FENOBARBITAL 32mg, tableta, V.O.      (En proceso de exclusión)",0.3,184800,20000,18000,66840,222800,110800,53000,10000,52140,173800,110200,52000,26000,56460,188200,679000,199000,167000,313500,1045000,55165,24000,14000,27949.5,93165
101012301,"FENOBARBITAL 64mg, tableta, V.O.",0.54,3320999,633000,354000,2326319.46,4307999,1893000,486000,286000,1439100,2665000,1376000,393000,203000,1064880,1972000,64800,0,13500,42282,78300,263000,32000,162000,246780,457000
101012901,"METRONIDAZOL, 500MG, TABLETA RANURADA, V.O.",0.077,75720,34440,580170,53155.41,690330,240,0,95160,7345.8,95400,486720,4200,7770,38399.13,498690,5073780,2015360,1192200,637663.18,8281340,0,0,0,0,0
101013101,"FÓLICO ÁCIDO, 5MG, TABLETA, V.O.",0.023,6315600,494960,793140,174885.1,7603700,3180880,13400,58960,74824.52,3253240,754760,840,585480,30844.84,1341080,852000,547000,190000,36547,1589000,4460780,513380,671280,129845.12,5645440
101013701,"NITROFURANTOINA 100MG CÁPSULA O TABLETA, V.O.",0.1,1117000,189000,184000,149000,1490000,559000,318000,158000,103500,1035000,521000,381000,206000,110800,1108000,388500,217900,145600,75200,752000,478000,297000,88000,86300,863000
101015901,"AZATIOPRINA, 50MG, TABLETA, V.O.",0.59,9300,16200,49000,43955,74500,0,0,0,0,0,0,0,0,0,0,1741590,76140,242040,1215264.3,2059770,249400,49200,66700,215527,365300
101016301,"ATENOLOL, 100MG, TABLETA RANURADA, V.O.",0.05,0,0,0,0,0,1139250,0,0,56962.5,1139250,3152460,163980,396510,185647.5,3712950,381760,36840,24400,22150,443000,780660,19500,120060,46011,920220
101018301,"PIRIDOSTIGMINA BROMURO, 60MG, TABLETA, V.O.",0.36,9000,4140,28820,15105.6,41960,460,0,4680,1850.4,5140,0,0,0,0,0,177540,62970,38700,100515.6,279210,165120,9640,14400,68097.6,189160
101018401,"METILDOPA, 250MG, TABLETA, V.O.",0.28,337200,161670,77520,161389.2,576390,253920,107820,65160,119532,426900,246720,95820,63480,113685.6,406020,0,0,0,0,0,86310,25110,18000,36237.6,129420
101018501,"MELFALANO 2mg, tableta, V.O.",0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650200,131700,179500,749892,961400,0,0,0,0,0
101022301,"METOTREXATE, 2.5MG, TABLETA, V.O.",0.15,350800,70300,124600,81855,545700,938500,143700,272400,203190,1354600,846900,236600,254100,200640,1337600,161670,39300,127380,49252.5,328350,330000,12300,106200,67275,448500
101023201,"HIDROXICLOROQUINA SULFATO, 400MG, TABLETA, V.O.",0.23,966480,177030,49680,274433.7,1193190,308040,32820,7320,80081.4,348180,122910,38790,85410,56835.3,247110,347300,176800,406400,214015,930500,300,0,38400,8901,38700
101024201,"PREDNISONA O PREDNISOLONA, 5MG, TABLETA, V.O.",0.025,1648300,594900,1169200,85310,3412400,38200,174700,592200,20127.5,805100,1042000,422000,713900,54447.5,2177900,150240,1740,5640,3940.5,157620,1000,0,154400,3885,155400
101024501,"TAMOXIFENO CITRATO,  20MG,  TABLETA, V.O.",0.17,248940,4740,2880,43615.2,256560,224520,2640,3420,39198.6,230580,213720,2550,4110,37464.6,220380,122460,30840,2220,26438.4,155520,82620,780,5640,15136.8,89040
101027201,"METILFENIDATO, 10MG, TABLETA, V.O.",0.11,54540,44220,2640,11154,101400,184050,62370,0,27106.2,246420,200280,57120,7230,29109.3,264630,831100,829900,374300,223883,2035300,19170,30960,0,5514.3,50130
101027701,"CARBAMAZEPINA 200mg, tableta, V.O. ",0.045,2208100,187500,278300,120325.5,2673900,509400,62600,40200,27549,612200,1039900,835900,548000,109071,2423800,0,0,0,0,0,283800,348100,201000,37480.5,832900
101028501,"LEVOMEPROMAZINA, 25MG, TABLETA, V.O.",0.51,37000,36000,2000,38250,75000,6000,1000,0,3570,7000,0,0,0,0,0,893740,537200,74600,767825.4,1505540,0,0,0,0,0
101030201,"TIAMAZOL (METIMAZOL)  5MG.TABLETA, V.O.",0.25,3160,0,0,790,3160,3280,0,0,820,3280,3280,0,0,820,3280,3334755,151000,213000,924688.75,3698755,107060,47720,196800,87895,351580
101030701,"HIDROCLOROTIAZIDA 25MG CON TRIAMTERENO 50MG, TABLETA RANURADA, V.O.",0.13,0,0,0,0,0,7345340,69000,411000,1017294.2,7825340,5295340,100000,319000,742864.2,5714340,179000,138400,75000,51012,392400,1467585,74000,263000,234596.05,1804585
101031601,IMIPRAMINA 10 MG CAPSULA O TABLETA V.O.,0.086,79000,2000,9700,7800.2,90700,180900,5000,28200,18412.6,214100,86000,9100,39900,11610,135000,679128,0,0,58405.008,679128,156000,86900,55000,25619.4,297900
101032001,"FLUOXETINA 20mg, cápsula o tableta, V.O. ",0.08,348628,152292,462756,77094.08,963676,328720,37800,145992,41000.96,512512,7280,0,98056,8426.88,105336,470260,1800,30900,40236.8,502960,585832,0,55216,51283.84,641048
101032901,"AMITRIPTILINA, 25MG, CÁPSULA O TABLETA, V.O.",0.03,88170,0,423780,15358.5,511950,0,0,59160,1774.8,59160,604140,21600,0,18772.2,625740,153000,18000,1000,5160,172000,79800,0,25500,3159,105300
101034201,"TIAMINA (VITAMINA B1) 100MG, TABLETA,V.O. ",0.0135,353000,136000,14000,6790.5,503000,327000,24000,2000,4765.5,353000,258000,32000,5000,3982.5,295000,334080,0,600,4518.18,334680,62000,9000,3000,999,74000
101034401,"PIRIDOXINA (VITAMINA B6), 50MG, TABLETA, V.O.",0.04,463560,0,0,18542.4,463560,453720,0,240,18158.4,453960,447840,0,0,17913.6,447840,3225700,23200,79200,133124,3328100,220920,0,0,8836.8,220920
101034801,"ASCÓRBICO ÁCIDO (VITAMINA C), 500MG, TABLETA RECUBIERTO (PELÍCULA), MASTICABLE O EFERVESCENTE, V.O.",0.045,9211800,978200,466500,479542.5,10656500,6249500,56300,176100,291685.5,6481900,5245600,89500,159800,247270.5,5494900,0,0,0,0,0,1288700,39600,154000,66703.5,1482300
101034901,"LITIO CARBONATO 300mg, cápsula o tableta, V.O. ",0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410100,483900,413800,150007,2307800,0,0,0,0,0
101035701,"BIPERIDENO CLORHIDRATO, 2MG, TABLETA, V.O.",0.036,2657300,184400,103900,106041.6,2945600,1732500,57300,23500,65278.8,1813300,1190800,275200,85400,55850.4,1551400,2966600,154700,57540,114438.24,3178840,836400,253200,224800,47318.4,1314400
101036301,"HIERRO (SAL FERROSA), 50-100MG DE HIERRO ELEMENTAL, TABLETA,  V.O.",0.25,489940,186000,596500,318110,1272440,0,0,83000,20750,83000,0,0,5500,1375,5500,52170,215640,186840,113662.5,454650,1016260,0,218000,308565,1234260
101037701,"ESPIRONOLACTONA, 25MG, TABLETA, V.O.",0.11,8880,62820,183960,28122.6,255660,0,0,0,0,0,0,0,0,0,0,488187,90384,18459,65673.3,597030,1496860,279540,446280,244494.8,2222680
101037801,"ANOVULATORIO ORAL, ESTRÓGENOS: ETINILESTRADIOL,  0.020-0.030MG; PROGESTAGENOS: LEVONORGESTREL, 0.15MG. O GESTODENO, 0.075MG, TABLETA, V.O.",0.06,729204,216993,89418,62136.9,1035615,587307,148848,50421,47194.56,786576,694722,139062,46620,52824.24,880404,2831220,0,579900,204667.2,3411120,301917,36624,399,20336.4,338940
101037901,"TRAMADOL CLORHIDRATO, 50MG, CÁPSULA, V.O.",0.027,3235580,407980,2211160,158077.44,5854720,599240,60860,1169400,49396.5,1829500,1121700,20040,986900,57473.28,2128640,6311200,697400,174400,193941,7183000,1097220,10980,259000,36914.4,1367200
101038201,"ACETIL SALICÍLICO ÁCIDO, 75-100MG, TABLETA, V.O.",0.016,22099900,933800,524200,376926.4,23557900,12618400,519400,73800,211385.6,13211600,10072200,801600,214800,177417.6,11088600,333450,187600,97400,9895.2,618450,3618800,31400,146000,60739.2,3796200
101038801,"TRIMETROPIN 160MG CON SULFAMETOXAZOL 800MG, TABLETA RANURADA, V.O.",0.065,63700,236950,335600,41356.25,636250,253500,70400,103100,27755,427000,734000,281000,241100,81646.5,1256100,35100,800,2700,2509,38600,99200,94450,12500,13399.75,206150
101042601,"CICLOSPORINA 25mg, cápsula con microemulsión,  V.O.",0.97,75300,5800,1500,80122,82600,273600,3350,5700,274170.5,282650,93100,2200,0,92441,95300,177750,0,11000,183087.5,188750,38200,0,8750,45541.5,46950
101042701,"CICLOSPORINA 100mg,  cápsula con microemulsión, V.O.",3.88,258150,12800,26450,1153912,297400,184050,0,5700,736230,189750,257850,5200,0,1020634,263050,28000,100,0,109028,28100,95500,1200,1800,382180,98500
101043001,"MERCAPTOPURINA  50MG.TABLETA,V.O.",1.64,11150,600,0,19270,11750,6000,500,0,10660,6500,33000,200,0,54448,33200,3000,0,0,4920,3000,18000,0,0,29520,18000
101043501,"DIAZEPAM, 5MG, TABLETA, V.O.",0.15,173000,10000,12000,29250,195000,4000,0,0,600,4000,4000,0,0,600,4000,18500,2640,400,3231,21540,2000,0,0,300,2000
101044101,"MEDROXIPROGESTERONA,  5mg, tableta, V.O.",0.5,17160,3520,2060,11370,22740,2720,1720,1400,2920,5840,0,720,1020,870,1740,52500,0,0,26250,52500,3000,3860,0,3430,6860
101048601,"MULTIVITAMINAS Y MINERALES, CÁPSULA O TABLETA, V.O.",0.07,3833000,343500,199500,306320,4376000,1195500,33000,201500,100100,1430000,79500,25000,0,7315,104500,6767300,1068800,1841500,677432,9677600,61500,0,0,4305,61500
101051101,"FUROSEMIDA, 40MG,  TABLETA, V.O.",0.037,7142400,1031300,426100,318192.6,8599800,10650300,1912100,3402400,590697.6,15964800,9737400,1581800,2850700,524286.3,14169900,25650,0,28530,2004.66,54180,4013800,419900,914800,197894.5,5348500
101052301,"AMITRIPTILINA 10mg, cápsula o tableta, V.O.",0.3,0,0,0,0,0,109470,0,0,32841,109470,196860,24570,2460,67167,223890,1017700,120100,69800,362280,1207600,5850,0,6660,3753,12510
101054001,"PROPRANOLOL CLORHIDRATO, 40MG, TABLETA, V.O.",0.099,1366000,445800,254700,204583.5,2066500,1426000,249900,148200,180585.9,1824100,1386200,206400,118300,169379.1,1710900,69000,0,0,6831,69000,660600,49800,18100,72121.5,728500
101057701,"COMPLEJO B,  TABLETA, V.O.",0.045,4634500,708500,707500,272272.5,6050500,72000,109000,57500,10732.5,238500,54000,0,0,2430,54000,823920,31680,33990,40031.55,889590,18000,0,0,810,18000
101058301,"WARFARINA SÓDICA 5mg, tableta, V.O.",0.5,80990,232590,182400,247990,495980,1128000,73620,97800,649710,1299420,1166910,54240,81540,651345,1302690,200100,0,0,100050,200100,514680,0,18060,266370,532740
101059201,"SULFASALAZINA, 500 MG,  TABLETA, V.O.",0.067,935500,136800,35500,74222.6,1107800,546700,12000,21800,38893.5,580500,370500,21300,3100,26458.3,394900,8904620,0,334152,618997.724,9238772,50600,99700,84500,15731.6,234800
101059401,"OMEPRAZOL, 20mg, CÁPSULA CON MICROESFERAS GASTRORRESISTENTES, V.O.",0.047,27402048,3339840,2456524,1560325.364,33198412,17318472,781144,714784,884276.8,18814400,14884880,108416,157584,712091.36,15150880,116000,0,249000,17155,365000,39200,0,0,1842.4,39200
101059601,"ANTIHISTAMÍNICO CON DESCONGESTIONANTE NASAL, ACCIÓN CORTA: ANTIHISTAMÍNICO: BROMFENIRAMINA, 4MG, O CARBINOXAMINA, 4MG, O CLORFENIRAMINA, 4MG, O TRIPROLIDINA, 2.5MG CON DESCONGESTIONANTE NASAL: FENILEFRINA, 20MG, O PSEUDOEFEDRINA, 60MG, CÁPSULA O TABLETA, V.O.",0.13,251000,26000,0,36010,277000,1409000,15000,47000,191230,1471000,875000,0,0,113750,875000,1187100,1673500,1059900,509665,3920500,22000,0,132000,20020,154000
101059901,"LORATADINA, 10MG, CÁPSULA O TABLETA, V.O.",0.014,9769300,4504600,3715800,251855.8,17989700,4102600,3619300,2585600,144305,10307500,2820600,2911600,2032500,108705.8,7764700,2954000,1412000,1207900,78034.6,5573900,53700,348700,422600,11550,825000
101061101,"AMOXICILINA BASE O TRIHIDRATADA, 500MG, CÁPSULA O TABLETA, V.O.",0.05,6843500,3062600,2886000,639605,12792100,5628000,2445300,2302000,518765,10375300,4432000,2102600,2036500,428555,8571100,807600,552200,198700,77925,1558500,1518000,623700,643800,139275,2785500
101061301,"CEFALEXINA, 500MG, CÁPSULA O TABLETA, V.O.",0.116,397700,327900,127000,98901.6,852600,823800,413500,113500,156692.8,1350800,352800,352600,69400,89876.8,774800,4500,129500,65600,23153.6,199600,626200,295900,161300,125674.4,1083400
101061701,"DICLOXACILINA, 500MG, CÁPSULA, V.O.",0.111,353500,300000,364200,112964.7,1017700,75000,346200,245600,74014.8,666800,6000,258200,183600,49705.8,447800,0,0,0,0,0,1500,0,4000,610.5,5500
101062501,"PRAZOSINA 2mg, tableta ranurada, V.O.",0.4,0,6250,0,2500,6250,0,0,0,0,0,0,0,0,0,0,281820,0,15840,119064,297660,0,0,0,0,0
101063301,"LEVODOPA CON CARBIDOPA, 250MG/25MG O LEVODOPA CON BENSERAZIDE, 200MG/50MG, TABLETA, V.O.",0.11,0,0,0,0,0,0,0,0,0,0,319980,69390,330,42867,389700,1353150,101280,49000,165377.3,1503430,74340,0,89760,18051,164100
101064601,"ALOPURINOL 300mg, tableta, V.O. ",0.045,1932520,400000,411000,123458.4,2743520,2530740,186000,248000,133413.3,2964740,1730310,238540,160000,95798.25,2128850,450300,18000,74000,24403.5,542300,835740,26600,111000,43800.3,973340
101065301,"MEBENDAZOL 100mg, tableta, V.O. ",0.19,793720,8000,215000,193176.8,1016720,677540,29000,152000,163122.6,858540,617200,28000,140000,149188,785200,0,0,0,0,0,290100,6000,30000,61959,326100
101065401,"DICLOFENACO SÓDICO, 50mg, cápsula o tableta, de liberación convencional o con capa entérica, V.O.",0.016,98000,451000,7000,8896,556000,0,24000,0,384,24000,0,0,0,0,0,750,0,0,12,750,0,0,0,0,0
101066201,"CLOMIFENO CITRATO 50mg, tableta, V.O.",0.5,4150,500,300,2475,4950,0,0,0,0,0,750,0,0,375,750,706410,118800,0,412605,825210,0,0,0,0,0
101066401,"CLONAZEPAM 2mg, tableta, V.O.",0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2888200,71400,301000,293454,3260600,327540,45600,14700,34905.6,387840
101068201,"IBUPROFENO 400mg, cápsula o tableta; V.O.",0.036,16172800,577410,886800,634932.36,17637010,12092200,94300,117600,442947.6,12304100,7516800,151600,426600,291420,8095000,0,0,0,0,0,82000,0,60400,5126.4,142400
101068401,"ESPIRAMICINA 1.0-1.5 millones UI, cápsula o tableta, V.O.",0.3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101068701,"LOPERAMIDA CLORHIDRATO, 2mg, cápsula o tableta, V.O.",0.147,77500,13300,0,13347.6,90800,61000,0,5000,9702,66000,0,0,0,0,0,221565,39580,27560,42439.635,288705,0,0,0,0,0
101070101,"SULPIRIDA 50mg, cápsula o tableta, V.O.",0.14,0,0,0,0,0,0,0,0,0,0,727400,65260,0,110972.4,792660,0,0,0,0,0,58295,880,0,8284.5,59175
101070201,"SULPIRIDA 200mg, cápsula o tableta, V.O.",0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101070401,"HALOPERIDOL, 5MG, TABLETA, V.O.",0.39,25000,0,0,9750,25000,36500,0,0,14235,36500,3000,0,0,1170,3000,1747168,16900,69100,714935.52,1833168,0,0,0,0,0
101070501,"CLINDAMICINA CLORHIDRATO 300mg, cápsula o tableta, V.O.",0.231,3170124,324600,188500,850824.744,3683224,2846424,154900,123800,721903.644,3125124,2560324,66900,91100,627932.844,2718324,0,0,0,0,0,1028912,0,23600,243130.272,1052512
101070901,"AMANTADINA 100mg, tableta, V.O.",0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3066800,781700,1681200,718861,5529700,0,0,0,0,0
101071301,"VERAPAMILO CLORHIDRATO 120mg, tableta de acción prologada, V.O.",0.105,3856600,1888000,794800,686637,6539400,2289400,16400,2460000,500409,4765800,24000,0,1699600,180978,1723600,578700,267400,200400,109882.5,1046500,4548400,1137500,1995600,806557.5,7681500
101071701,"HIDROXICARBAMIDA (HIDROXIUREA) 500mg, cápsula, V.O.",0.29,821900,156300,13300,287535,991500,298600,86500,6800,113651,391900,453000,386900,301400,330977,1141300,0,0,0,0,0,360600,145100,102400,176349,608100
101072701,"GLICLAZIDA, 80mg, tableta, V.O.",0.047,299580,12600,131580,20856.72,443760,1433430,0,79290,71097.84,1512720,611160,131220,110580,40089.12,852960,26200,0,0,1231.4,26200,0,0,0,0,0
101073401,"PREDNISONA, 50MG, TABLETA, V.O. (X100)",0.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137600,10000,5900,81662,153500
101073501,"VERAPAMILO CLORHIDRATO 80mg, tableta, V.O.",0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13140,0,0,1445.4,13140,0,0,0,0,0
101073801,"VALPROATO DE MAGNESIO, DIVALPROATO SÓDICO, 500mg, cápsula o tableta, de liberación modificada con capa entérica, V.O.",0.11,549680,51020,39500,70422,640200,41080,0,7500,5343.8,48580,17520,0,0,1927.2,17520,0,0,0,0,0,4380,0,0,481.8,4380
101074101,"DANAZOL 200mg, cápsula o tableta, V.O.",0.76,3390,0,0,2576.4,3390,0,0,0,0,0,0,0,0,0,0,464100,17580,4920,369816,486600,0,0,0,0,0
101074201,"CAPTOPRIL, 25MG, TABLETA, V.O.",0.175,710040,54000,35280,139881,799320,640800,30060,16140,120225,687000,630600,25680,12360,117012,668640,0,0,0,0,0,299760,8580,2880,54463.5,311220
101074301,"COLCHICINA 0.5mg-0.6mg,  tableta, V.O.",0.24,13680,3880,3160,4972.8,20720,5600,960,0,1574.4,6560,0,0,0,0,0,17021100,1580850,7511550,6267240,26113500,0,0,0,0,0
101074801,"METFORMINA CLORHIDRATO 850mg, tableta ranurada,  V.O. ",0.017,26447700,3758300,5454200,606223.4,35660200,33466000,5844400,12797000,885825.8,52107400,26779800,3924900,11726450,721329.55,42431150,5160,0,113700,2020.62,118860,8024400,0,3173500,190364.3,11197900
101075001,"SUCRALFATO 1g, tableta o gel oral, V.O.",0.71,109060,0,36500,103347.6,145560,118340,5900,203900,232979.4,328140,50490,0,185400,167481.9,235890,290820,0,9660,213340.8,300480,0,0,41100,29181,41100
101075501,"AMIODARONA CLORHIDRATO 200mg, tableta, V.O.",0.22,155040,6090,30060,42061.8,191190,900,900,0,396,1800,553740,40140,70740,146216.4,664620,318500,127000,105000,121110,550500,56970,600,14220,15793.8,71790
